provinceName,currentConfirmedCount,confirmedCount,curedCount,deadCount,lastUpdate,date
湖南省,100,100,0,0,2020-01-27 08:52:53.874,2020-01-27 00:00:00.000
甘肃省,14,14,0,0,2020-01-27 09:15:05.687,2020-01-27 00:00:00.000
河南省,127,128,0,1,2020-01-27 08:37:45.423,2020-01-27 00:00:00.000
江西省,47,48,1,0,2020-01-27 12:23:49.766,2020-01-27 00:00:00.000
广西壮族自治区,46,46,0,0,2020-01-27 08:11:31.301,2020-01-27 00:00:00.000
海南省,32,33,0,1,2020-01-27 18:25:44.242,2020-01-27 00:00:00.000
宁夏回族自治区,7,7,0,0,2020-01-27 12:49:03.654,2020-01-27 00:00:00.000
新疆维吾尔自治区,5,5,0,0,2020-01-27 09:41:19.863,2020-01-27 00:00:00.000
青海省,6,6,0,0,2020-01-27 22:36:52.109,2020-01-27 00:00:00.000
新加坡,5,5,0,0,2020-01-28 06:36:26.598,2020-01-28 00:00:00.000
德国,1,1,0,0,2020-01-28 07:23:54.770,2020-01-28 00:00:00.000
日本,6,7,1,0,2020-01-28 20:00:24.403,2020-01-28 00:00:00.000
斯里兰卡,1,1,0,0,2020-01-28 15:43:29.923,2020-01-28 00:00:00.000
泰国,9,14,5,0,2020-01-28 15:43:29.923,2020-01-28 00:00:00.000
陕西省,46,46,0,0,2020-01-28 15:43:29.923,2020-01-28 00:00:00.000
福建省,80,80,0,0,2020-01-28 20:08:29.828,2020-01-28 00:00:00.000
山东省,95,95,0,0,2020-01-28 15:51:35.578,2020-01-28 00:00:00.000
吉林省,8,8,0,0,2020-01-28 15:43:29.923,2020-01-28 00:00:00.000
内蒙古自治区,15,15,0,0,2020-01-28 16:20:07.313,2020-01-28 00:00:00.000
台湾,8,8,0,0,2020-01-28 21:00:01.916,2020-01-28 00:00:00.000
上海市,61,66,4,1,2020-01-28 15:43:29.923,2020-01-28 00:00:00.000
北京市,86,91,4,1,2020-01-28 21:02:03.262,2020-01-28 00:00:00.000
广东省,203,207,4,0,2020-01-28 18:44:36.890,2020-01-28 00:00:00.000
天津市,24,24,0,0,2020-01-28 15:43:29.923,2020-01-28 00:00:00.000
辽宁省,34,34,0,0,2020-01-28 19:51:18.503,2020-01-28 00:00:00.000
黑龙江省,29,30,0,1,2020-01-28 09:05:57.968,2020-01-28 00:00:00.000
澳门,7,7,0,0,2020-01-28 09:50:34.189,2020-01-28 00:00:00.000
山西省,20,20,0,0,2020-01-28 09:15:03.842,2020-01-28 00:00:00.000
内蒙古自治区,15,15,0,0,2020-01-28 16:20:07.313,2020-01-28 00:00:00.000
江苏省,69,70,1,0,2020-01-28 08:54:50.484,2020-01-28 00:00:00.000
湖北省,2562,2714,52,100,2020-01-28 16:36:17.441,2020-01-28 00:00:00.000
河北省,32,33,0,1,2020-01-28 09:31:15.161,2020-01-28 00:00:00.000
云南省,44,44,0,0,2020-01-28 15:43:29.923,2020-01-28 00:00:00.000
浙江省,170,173,3,0,2020-01-28 19:47:15.857,2020-01-28 00:00:00.000
安徽省,106,106,0,0,2020-01-28 09:04:57.271,2020-01-28 00:00:00.000
四川省,90,90,0,0,2020-01-28 09:09:00.102,2020-01-28 00:00:00.000
重庆市,132,132,0,0,2020-01-28 09:15:03.842,2020-01-28 00:00:00.000
贵州省,9,9,0,0,2020-01-28 08:47:45.805,2020-01-28 00:00:00.000
湖南省,143,143,0,0,2020-01-28 15:43:29.923,2020-01-28 00:00:00.000
甘肃省,19,19,0,0,2020-01-28 15:43:29.923,2020-01-28 00:00:00.000
河南省,167,168,0,1,2020-01-28 08:37:39.306,2020-01-28 00:00:00.000
江西省,69,72,3,0,2020-01-28 15:43:29.923,2020-01-28 00:00:00.000
广西壮族自治区,49,51,2,0,2020-01-28 18:36:31.731,2020-01-28 00:00:00.000
海南省,39,40,0,1,2020-01-28 15:43:29.923,2020-01-28 00:00:00.000
宁夏回族自治区,11,11,0,0,2020-01-28 09:31:15.161,2020-01-28 00:00:00.000
新疆维吾尔自治区,10,10,0,0,2020-01-28 09:31:15.161,2020-01-28 00:00:00.000
法国,4,4,0,0,2020-01-29 07:10:37.290,2020-01-29 00:00:00.000
加拿大,3,3,0,0,2020-01-29 13:19:15.211,2020-01-29 00:00:00.000
新加坡,10,10,0,0,2020-01-29 19:55:25.726,2020-01-29 00:00:00.000
德国,4,4,0,0,2020-01-29 06:59:32.598,2020-01-29 00:00:00.000
阿联酋,1,1,0,0,2020-01-29 13:46:27.684,2020-01-29 00:00:00.000
马来西亚,7,7,0,0,2020-01-29 12:29:56.170,2020-01-29 00:00:00.000
澳大利亚,7,7,0,0,2020-01-29 18:01:33.247,2020-01-29 00:00:00.000
陕西省,56,56,0,0,2020-01-29 20:44:48.401,2020-01-29 00:00:00.000
福建省,84,84,0,0,2020-01-29 15:52:23.744,2020-01-29 00:00:00.000
山东省,129,130,1,0,2020-01-29 15:07:03.274,2020-01-29 00:00:00.000
吉林省,9,9,0,0,2020-01-29 09:15:29.915,2020-01-29 00:00:00.000
内蒙古自治区,16,16,0,0,2020-01-29 10:47:13.205,2020-01-29 00:00:00.000
香港,10,10,0,0,2020-01-29 19:12:06.231,2020-01-29 00:00:00.000
上海市,90,96,5,1,2020-01-29 15:36:16.379,2020-01-29 00:00:00.000
北京市,106,111,4,1,2020-01-29 23:30:03.756,2020-01-29 00:00:00.000
广东省,272,277,5,0,2020-01-29 18:46:55.003,2020-01-29 00:00:00.000
天津市,27,27,0,0,2020-01-29 21:03:57.299,2020-01-29 00:00:00.000
辽宁省,38,39,1,0,2020-01-29 22:04:25.086,2020-01-29 00:00:00.000
黑龙江省,37,38,0,1,2020-01-29 14:36:48.788,2020-01-29 00:00:00.000
山西省,26,27,1,0,2020-01-29 20:38:45.888,2020-01-29 00:00:00.000
内蒙古自治区,16,16,0,0,2020-01-29 10:47:13.205,2020-01-29 00:00:00.000
江苏省,98,99,1,0,2020-01-29 09:13:28.914,2020-01-29 00:00:00.000
湖北省,3342,3554,87,125,2020-01-29 20:34:44.154,2020-01-29 00:00:00.000
河北省,47,48,0,1,2020-01-29 09:06:26.028,2020-01-29 00:00:00.000
云南省,55,55,0,0,2020-01-29 17:11:02.144,2020-01-29 00:00:00.000
浙江省,293,296,3,0,2020-01-29 09:05:25.495,2020-01-29 00:00:00.000
安徽省,150,152,2,0,2020-01-29 13:42:25.933,2020-01-29 00:00:00.000
四川省,106,108,1,1,2020-01-29 23:03:51.770,2020-01-29 00:00:00.000
重庆市,146,147,1,0,2020-01-29 10:53:16.343,2020-01-29 00:00:00.000
贵州省,8,9,1,0,2020-01-29 12:54:04.833,2020-01-29 00:00:00.000
湖南省,221,221,0,0,2020-01-29 09:06:26.028,2020-01-29 00:00:00.000
甘肃省,24,24,0,0,2020-01-29 09:13:28.914,2020-01-29 00:00:00.000
河南省,203,206,1,2,2020-01-29 08:49:19.265,2020-01-29 00:00:00.000
江西省,106,109,3,0,2020-01-29 06:29:20.222,2020-01-29 00:00:00.000
广西壮族自治区,56,58,2,0,2020-01-29 08:19:05.707,2020-01-29 00:00:00.000
海南省,42,43,0,1,2020-01-29 10:15:58.978,2020-01-29 00:00:00.000
宁夏回族自治区,12,12,0,0,2020-01-29 10:40:09.530,2020-01-29 00:00:00.000
新疆维吾尔自治区,13,13,0,0,2020-01-29 21:08:59.967,2020-01-29 00:00:00.000
西藏自治区,0,0,0,0,2020-01-29 10:15:58.978,2020-01-29 00:00:00.000
法国,5,5,0,0,2020-01-30 06:46:10.975,2020-01-30 00:00:00.000
印度,1,1,0,0,2020-01-30 17:13:04.426,2020-01-30 00:00:00.000
阿联酋,4,4,0,0,2020-01-30 22:02:25.277,2020-01-30 00:00:00.000
日本,10,11,1,0,2020-01-30 09:19:17.693,2020-01-30 00:00:00.000
芬兰,1,1,0,0,2020-01-30 06:46:10.975,2020-01-30 00:00:00.000
马来西亚,8,8,0,0,2020-01-30 22:02:25.277,2020-01-30 00:00:00.000
澳大利亚,6,8,2,0,2020-01-30 22:01:24.794,2020-01-30 00:00:00.000
陕西省,63,63,0,0,2020-01-30 12:19:46.027,2020-01-30 00:00:00.000
福建省,101,101,0,0,2020-01-30 10:01:39.002,2020-01-30 00:00:00.000
山东省,157,158,1,0,2020-01-30 15:31:14.773,2020-01-30 00:00:00.000
吉林省,13,14,1,0,2020-01-30 09:53:34.776,2020-01-30 00:00:00.000
内蒙古自治区,18,18,0,0,2020-01-30 12:20:46.457,2020-01-30 00:00:00.000
台湾,9,9,0,0,2020-01-30 18:00:28.363,2020-01-30 00:00:00.000
上海市,106,112,5,1,2020-01-30 15:27:12.882,2020-01-30 00:00:00.000
北京市,109,114,4,1,2020-01-30 12:27:49.186,2020-01-30 00:00:00.000
广东省,344,354,10,0,2020-01-30 20:06:26.034,2020-01-30 00:00:00.000
天津市,31,31,0,0,2020-01-30 23:12:00.507,2020-01-30 00:00:00.000
辽宁省,40,41,1,0,2020-01-30 12:46:57.941,2020-01-30 00:00:00.000
黑龙江省,42,44,0,2,2020-01-30 23:05:57.689,2020-01-30 00:00:00.000
山西省,34,35,1,0,2020-01-30 07:00:17.415,2020-01-30 00:00:00.000
内蒙古自治区,18,18,0,0,2020-01-30 12:20:46.457,2020-01-30 00:00:00.000
江苏省,128,129,1,0,2020-01-30 08:50:04.749,2020-01-30 00:00:00.000
湖北省,4651,4903,90,162,2020-01-30 22:24:37.371,2020-01-30 00:00:00.000
河北省,64,65,0,1,2020-01-30 08:24:52.896,2020-01-30 00:00:00.000
云南省,70,70,0,0,2020-01-30 10:01:39.002,2020-01-30 00:00:00.000
浙江省,424,428,4,0,2020-01-30 09:11:13.523,2020-01-30 00:00:00.000
安徽省,198,200,2,0,2020-01-30 08:55:06.671,2020-01-30 00:00:00.000
四川省,140,142,1,1,2020-01-30 08:42:00.664,2020-01-30 00:00:00.000
重庆市,181,182,1,0,2020-01-30 16:24:39.855,2020-01-30 00:00:00.000
贵州省,11,12,1,0,2020-01-30 08:57:07.434,2020-01-30 00:00:00.000
湖南省,275,277,2,0,2020-01-30 13:10:08.012,2020-01-30 00:00:00.000
甘肃省,26,26,0,0,2020-01-30 09:16:16.122,2020-01-30 00:00:00.000
河南省,274,278,2,2,2020-01-30 12:32:51.411,2020-01-30 00:00:00.000
江西省,157,162,5,0,2020-01-30 12:25:48.442,2020-01-30 00:00:00.000
广西壮族自治区,76,78,2,0,2020-01-30 08:30:55.652,2020-01-30 00:00:00.000
海南省,44,46,1,1,2020-01-30 13:25:14.824,2020-01-30 00:00:00.000
宁夏回族自治区,17,17,0,0,2020-01-30 12:37:53.792,2020-01-30 00:00:00.000
新疆维吾尔自治区,14,14,0,0,2020-01-30 09:05:10.886,2020-01-30 00:00:00.000
青海省,8,8,0,0,2020-01-30 19:25:06.136,2020-01-30 00:00:00.000
西藏自治区,1,1,0,0,2020-01-30 07:51:38.534,2020-01-30 00:00:00.000
美国,6,6,0,0,2020-01-31 07:17:36.584,2020-01-31 00:00:00.000
英国,2,2,0,0,2020-01-31 17:57:38.714,2020-01-31 00:00:00.000
俄罗斯,2,2,0,0,2020-01-31 21:09:48.907,2020-01-31 00:00:00.000
意大利,2,2,0,0,2020-01-31 07:09:51.167,2020-01-31 00:00:00.000
新加坡,13,13,0,0,2020-01-31 14:04:25.446,2020-01-31 00:00:00.000
德国,5,5,0,0,2020-01-31 07:07:38.244,2020-01-31 00:00:00.000
日本,14,15,1,0,2020-01-31 18:23:19.016,2020-01-31 00:00:00.000
韩国,11,11,0,0,2020-01-31 14:08:51.892,2020-01-31 00:00:00.000
澳大利亚,7,9,2,0,2020-01-31 07:09:51.167,2020-01-31 00:00:00.000
泰国,14,19,5,0,2020-01-31 18:27:47.927,2020-01-31 00:00:00.000
陕西省,87,87,0,0,2020-01-31 11:06:52.944,2020-01-31 00:00:00.000
福建省,120,120,0,0,2020-01-31 12:20:03.528,2020-01-31 00:00:00.000
山东省,182,184,2,0,2020-01-31 15:21:35.772,2020-01-31 00:00:00.000
吉林省,13,14,1,0,2020-01-31 13:42:13.163,2020-01-31 00:00:00.000
内蒙古自治区,19,20,1,0,2020-01-31 19:53:11.973,2020-01-31 00:00:00.000
香港,12,12,0,0,2020-01-31 08:06:24.092,2020-01-31 00:00:00.000
台湾,10,10,0,0,2020-01-31 21:01:22.102,2020-01-31 00:00:00.000
上海市,125,135,9,1,2020-01-31 17:36:28.925,2020-01-31 00:00:00.000
北京市,133,139,5,1,2020-01-31 16:36:06.628,2020-01-31 00:00:00.000
广东省,425,436,11,0,2020-01-31 21:28:35.115,2020-01-31 00:00:00.000
天津市,32,32,0,0,2020-01-31 12:04:32.487,2020-01-31 00:00:00.000
辽宁省,47,48,1,0,2020-01-31 13:05:34.998,2020-01-31 00:00:00.000
黑龙江省,57,59,0,2,2020-01-31 09:06:24.750,2020-01-31 00:00:00.000
山西省,38,39,1,0,2020-01-31 07:57:31.077,2020-01-31 00:00:00.000
内蒙古自治区,19,20,1,0,2020-01-31 19:53:11.973,2020-01-31 00:00:00.000
江苏省,163,168,5,0,2020-01-31 20:33:59.008,2020-01-31 00:00:00.000
湖北省,5461,5806,141,204,2020-01-31 22:06:41.473,2020-01-31 00:00:00.000
河北省,81,82,0,1,2020-01-31 08:27:30.493,2020-01-31 00:00:00.000
云南省,82,83,1,0,2020-01-31 19:35:23.281,2020-01-31 00:00:00.000
浙江省,524,538,14,0,2020-01-31 22:43:05.199,2020-01-31 00:00:00.000
安徽省,234,237,3,0,2020-01-31 08:39:44.417,2020-01-31 00:00:00.000
四川省,175,177,1,1,2020-01-31 08:41:57.919,2020-01-31 00:00:00.000
重庆市,210,211,1,0,2020-01-31 15:49:03.700,2020-01-31 00:00:00.000
贵州省,27,29,2,0,2020-01-31 19:46:30.887,2020-01-31 00:00:00.000
湖南省,330,332,2,0,2020-01-31 09:56:34.215,2020-01-31 00:00:00.000
甘肃省,29,29,0,0,2020-01-31 08:00:50.955,2020-01-31 00:00:00.000
河南省,347,352,3,2,2020-01-31 13:45:33.073,2020-01-31 00:00:00.000
江西省,233,240,7,0,2020-01-31 09:05:17.803,2020-01-31 00:00:00.000
广西壮族自治区,85,87,2,0,2020-01-31 08:34:10.769,2020-01-31 00:00:00.000
海南省,50,52,1,1,2020-01-31 17:03:38.927,2020-01-31 00:00:00.000
宁夏回族自治区,21,21,0,0,2020-01-31 10:41:15.638,2020-01-31 00:00:00.000
新疆维吾尔自治区,17,17,0,0,2020-01-31 17:39:48.831,2020-01-31 00:00:00.000
青海省,8,8,0,0,2020-01-31 10:39:01.952,2020-01-31 00:00:00.000
美国,6,6,0,0,2020-02-01 02:48:13.418,2020-02-01 00:00:00.000
英国,2,2,0,0,2020-02-01 02:48:13.418,2020-02-01 00:00:00.000
俄罗斯,2,2,0,0,2020-02-01 02:48:13.418,2020-02-01 00:00:00.000
意大利,2,2,0,0,2020-02-01 02:48:13.418,2020-02-01 00:00:00.000
西班牙,7,7,0,0,2020-02-01 07:23:06.142,2020-02-01 00:00:00.000
法国,6,6,0,0,2020-02-01 08:29:04.577,2020-02-01 00:00:00.000
印度,1,1,0,0,2020-02-01 02:48:13.418,2020-02-01 00:00:00.000
加拿大,4,4,0,0,2020-02-01 18:29:15.389,2020-02-01 00:00:00.000
新加坡,16,16,0,0,2020-02-01 11:21:19.093,2020-02-01 00:00:00.000
瑞典,1,1,0,0,2020-02-01 08:29:04.577,2020-02-01 00:00:00.000
德国,1,1,0,0,2020-02-01 07:23:06.142,2020-02-01 00:00:00.000
阿联酋,4,4,0,0,2020-02-01 02:48:13.418,2020-02-01 00:00:00.000
菲律宾,1,1,0,0,2020-02-01 22:21:15.769,2020-02-01 00:00:00.000
日本,19,20,1,0,2020-02-01 20:47:45.636,2020-02-01 00:00:00.000
芬兰,1,1,0,0,2020-02-01 02:48:13.418,2020-02-01 00:00:00.000
马来西亚,8,8,0,0,2020-02-01 02:48:13.418,2020-02-01 00:00:00.000
韩国,12,12,0,0,2020-02-01 18:35:35.070,2020-02-01 00:00:00.000
